atr_name	tag
Selector DA Value	0072,0061
Selector DT Value	0072,0063
Selector LO Value	0072,0066
Selector LT Value	0072,0068
Selector OB Value	0072,0065
Selector PN Value	0072,006A
Selector SH Value	0072,006C
Selector ST Value	0072,006E
Selector TM Value	0072,006B
Selector UN Value	0072,006D
Selector UR Value	0072,0071
Selector UT Value	0072,0070
Series Date	0008,0021
Series Description	0008,103E
Series Instance UID	0020,000E
Series Time	0008,0031
Service Episode D...	0038,0062
Service Episode ID	0038,0060
Setup Technique D...	300A,01B2
Shielding Device ...	300A,01A6
Slide Identifier	0040,06FA
Smoking Status	0010,21A0
SOP Authorization...	0100,0420
SOP Instance UID	0008,0018
Source Conceptual...	3010,0015
Source End DateTime	0018,936A
Source Identifier	0034,0005
Source Image Sequ...	0008,2112
Source Manufacturer	300A,0216
Source of Previou...	0400,0564
Source Serial Number	3008,0105
Source Start Date...	0018,9369
Source Strength R...	300A,022C
Source Strength R...	300A,022E
Special Needs	0038,0050
Specimen Accessio...	0040,050A
Specimen Detailed...	0040,0602
Specimen Identifier	0040,0551
Specimen Preparat...	0040,0610
Specimen Short De...	0040,0600
Specimen UID	0040,0554
Start Acquisition...	0018,9516
Station Name	0008,1010
Storage Media Fil...	0088,0140
Structure Set Date	3006,0008
Structure Set Des...	3006,0006
Structure Set Label	3006,0002
Structure Set Name	3006,0004
Structure Set Time	3006,0009
Study Arrival Date	0032,1040
Study Arrival Time	0032,1041
Study Comments	0032,4000
Study Completion ...	0032,1050
Study Completion ...	0032,1051
Study Date	0008,0020
Study Description	0008,1030
Study ID	0020,0010
Study ID Issuer	0032,0012
Study Instance UID	0020,000D
Study Read Date	0032,0034
Study Read Time	0032,0035
Study Time	0008,0030
Study Verified Date	0032,0032
Study Verified Time	0032,0033
Substance Adminis...	0044,0010
Synchronization F...	0020,0200
Target UID	0018,2042
Telephone Number ...	0040,A354
Template Extensio...	0040,DB0D
Template Extensio...	0040,DB0C
Template Local Ve...	0040,DB07
Template Version	0040,DB06
Text Comments	4000,4000
Text String	2030,0020
Time	0040,A122
Time of Document ...	0040,A112
Time of Last Cali...	0018,1201
Time of Last Dete...	0018,700E
Time of Secondary...	0018,1014
Timezone Offset F...	0008,0201
Topic Author	0088,0910
Topic Keywords	0088,0912
Topic Subject	0088,0906
Topic Title	0088,0904
Tracking UID	0062,0021
Transaction UID	0008,1195
Transducer Identi...	0018,5011
Treatment Control...	3008,0024
Treatment Control...	3008,0025
Treatment Date	3008,0250
Treatment Machine...	300A,00B2
Treatment Positio...	300A,0608
Treatment Positio...	300A,0609
Treatment Session...	300A,0700
Treatment Site	3010,0077
Treatment Sites	300A,000B
Treatment Techniq...	3010,007A
Treatment Time	3008,0251
Treatment Toleran...	300A,0736
Treatment Toleran...	300A,0734
UDI Sequence	0018,100A
UID	0040,A124
Unique Device Ide...	0018,1009
User Content Label	3010,0033
User Content Long...	3010,0034
Verbal Source (Tr...	0040,A352
Verbal Source Ide...	0040,A358
Verification Date...	0040,A030
Verifying Observe...	0040,A088
Verifying Observe...	0040,A075
Verifying Observe...	0040,A073
Verifying Organiz...	0040,A027
Visit Comments	0038,4000
X-Ray Detector ID	0018,9371
X-Ray Detector Label	0018,9373
X-Ray Source ID	0018,9367
